keys,en,es
upgrade.dash_cooldown.description,-0.2s Dash Cooldown (Current: {0:F2}s),-0.2 s de cooldown del dash (actual: {0:F2} s)
upgrade.fireball_burst.description,+1 Fireball projectile fired in burst. (Current: {0}),+1 proyectil de Bola de fuego en ráfaga (actual: {0})
upgrade.fireball_burst.first_description,Fires 2 Fireball projectiles in burst. Fireball damage is reduced by 15%. (Current: {0}),Dispara 2 proyectiles de Bola de fuego en ráfaga. El daño de la Bola de fuego se reduce un 15% (actual: {0}).
upgrade.fireball_piercing.description,Fireball now pierces through enemies.,La Bola de fuego atraviesa a los enemigos.
upgrade.fireball_multishot.description,+2 Fireball projectile (Current: {0}),+2 proyectiles de Bola de fuego (actual: {0})
upgrade.fireball_explosive.description,Fireball explodes on impact and deals area damage.,La Bola de fuego explota al impactar y causa daño de área.
upgrade.fireball_damage.description,+{0} Fireball Damage. This bonus scales up further every time you choose this upgrade card.,+{0} de daño de Bola de fuego. Esta bonificación aumenta cada vez que eliges esta carta.
upgrade.unlock_frost_ray.description,A beam that pierces and slows enemies it hits.,Un rayo que atraviesa y ralentiza a los enemigos.
upgrade.frost_ray_permafrost.description,Frost Ray completely freezes enemies hit.,El Rayo de hielo congela por completo a los enemigos alcanzados.
upgrade.frost_ray_wide.description,Frost Ray becomes wider and hits more enemies.,El Rayo de hielo se hace más ancho y alcanza a más enemigos.
upgrade.frost_ray_chain.description,Frost Ray bounces to the nearest enemy after hitting one.,El Rayo de hielo rebota al enemigo más cercano tras golpear a uno.
upgrade.frost_ray_slow_duration.description,+1s Frost Ray slow duration.,+1 s de duración de ralentización del Rayo de hielo.
upgrade.frost_ray_slow_duration.freeze_description,+0.5s Frost Ray freeze duration.,+0.5 s de duración de congelación del Rayo de hielo.
upgrade.unlock_repulsion_burst.description,Periodically releases a burst that pushes nearby enemies away. Triggers every {0:F1} seconds.,Libera periódicamente un estallido que repele a los enemigos cercanos. Se activa cada {0:F1} segundos.
upgrade.repulsion_burst_damage.description,+2 Repulsion Burst damage (Current: {0:F2}s).,+2 de daño del Estallido de repulsión (actual: {0:F2} s).
upgrade.repulsion_burst_shockwave.description,Repulsion Burst leaves a damaging shockwave.,El Estallido de repulsión deja una onda expansiva dañina.
upgrade.repulsion_burst_extended.description,Increase Repulsion Burst range and push force.,Aumenta el alcance y la fuerza de empuje del Estallido de repulsión.
upgrade.nova_chain.description,Fire Nova launches Fireballs when detonating.,La Nova de fuego lanza Bolas de fuego al detonar.
upgrade.nova_cooldown.description,-0.5s Fire Nova Cooldown (Current: {0:F2}s),-0.5 s de cooldown de la Nova de fuego (actual: {0:F2} s)
